container,folder1,folder2,application_id
belgiumdev,inbound,outbound,a536e2ae-01ec-4053-85af-13e6ecee344c
aavdev,inbound,outbound,a536e2ae-01ec-4053-85af-13e6ecee344c
aavgldev,inbound,outbound,a536e2ae-01ec-4053-85af-13e6ecee344c
bulgariadev,inbound,outbound,a536e2ae-01ec-4053-85af-13e6ecee344c
czechiadev,inbound,outbound,a536e2ae-01ec-4053-85af-13e6ecee344c
greecedev,inbound,outbound,a536e2ae-01ec-4053-85af-13e6ecee344c
